review_id,product_id,platform,domain,subcategory,review_title,review_text,rating,review_date,reviewer_name,verified_purchase,helpful_votes
R001,P001,YesStyle,Skincare,Cleanser,Very gentle,"This cleanser feels soft and does not dry my skin.",5,2026-03-20,Alice,True,3
R002,P002,YesStyle,Skincare,Serum,Nice glow,"It helped with brightness but takes time to show results.",4,2026-03-19,Sara,True,1
R003,P003,YesStyle,Skincare,Moisturizer,Perfect for irritation,"Very calming and hydrating. Good for sensitive skin.",5,2026-03-18,Mina,True,4
R101,P101,Amazon,Home Appliance,Smart TV,Great picture,"Picture quality is sharp and apps run smoothly.",5,2026-03-17,John,True,8
R102,P102,Walmart,Home Appliance,Microwave,Heats fast,"Food heats evenly and quickly. Easy to use.",4,2026-03-17,Emma,True,2
R103,P103,Target,Home Appliance,Vacuum Cleaner,Strong suction,"Very strong suction and works well for pet hair.",5,2026-03-16,David,True,6
R104,P104,Amazon,Home Appliance,Smart TV,Excellent for movies,"Picture quality is excellent and the smart apps are fast. Very reliable TV for family use.",5,2026-03-15,Liam,True,7
R105,P104,Amazon,Home Appliance,Smart TV,Good value,"Colors look vibrant and setup was easy. Sound is decent for the price.",4,2026-03-14,Olivia,True,4
R106,P105,Costco,Home Appliance,Smart TV,Premium quality,"Beautiful display, sharp image, and strong sound quality. Feels like a premium product.",5,2026-03-14,Noah,True,9
R107,P105,Costco,Home Appliance,Smart TV,Very reliable,"Works smoothly every day and streaming is excellent. Expensive but worth it.",5,2026-03-13,Emma,True,6
R108,P101,Amazon,Home Appliance,Smart TV,Great smart features,"Apps load quickly and the image is clear. Very good for gaming and streaming.",5,2026-03-13,James,True,5
R109,P101,Amazon,Home Appliance,Smart TV,Good but sound average,"Picture is strong but built-in sound is only average. Still a good buy overall.",4,2026-03-12,Sophia,True,3
R110,P106,Walmart,Home Appliance,Microwave,Fast heating,"Heats food quickly and buttons are easy to use. Good microwave for daily cooking.",5,2026-03-12,Mason,True,4
R111,P106,Walmart,Home Appliance,Microwave,Compact and useful,"Very convenient size and works well in a small kitchen. Reliable so far.",4,2026-03-11,Ava,True,2
R112,P102,Walmart,Home Appliance,Microwave,Even heating,"Food heats evenly and it is simple to clean. Nice value for the price.",4,2026-03-11,Ethan,True,3
R113,P102,Walmart,Home Appliance,Microwave,Easy daily use,"Very easy to use and does not take too much space. Good for quick meals.",4,2026-03-10,Isabella,True,2
R114,P107,Amazon,Home Appliance,Vacuum Cleaner,Powerful suction,"Strong suction and works very well on pet hair. Lightweight and easy to move.",5,2026-03-10,Lucas,True,8
R115,P107,Amazon,Home Appliance,Vacuum Cleaner,Great for carpet,"Cleans carpet deeply and battery performance is solid. Reliable for weekly cleaning.",5,2026-03-09,Mia,True,5
R116,P108,Target,Home Appliance,Vacuum Cleaner,Affordable and effective,"Very good suction for the price and easy to assemble. Great value option.",4,2026-03-09,Elijah,True,4
R117,P108,Target,Home Appliance,Vacuum Cleaner,Good budget vacuum,"Works well for daily cleaning and picks up dust nicely. Slightly noisy but useful.",4,2026-03-08,Charlotte,True,2
R118,P103,Target,Home Appliance,Vacuum Cleaner,Excellent for pet owners,"Removes pet hair really well and suction is strong. Easy to empty and maintain.",5,2026-03-08,Benjamin,True,7
R119,P103,Target,Home Appliance,Vacuum Cleaner,Very dependable,"Good performance on both carpet and floor. Feels durable and reliable.",5,2026-03-07,Amelia,True,5
R120,P004,Ulta Beauty,Skincare,Serum,Helps with oil control,"My skin looks less oily and breakouts reduced after using this serum.",5,2026-03-07,Harper,True,4
R121,P004,Ulta Beauty,Skincare,Serum,Good for acne,"Very effective for acne marks and oil control. Slight tingling at first but worth it.",4,2026-03-06,Evelyn,True,3
R122,P005,Amazon,Skincare,Moisturizer,Very hydrating,"This cream is thick, hydrating, and great for dry sensitive skin.",5,2026-03-06,Henry,True,6
R123,P005,Amazon,Skincare,Moisturizer,Barrier repair,"Skin barrier improved a lot and dryness reduced within a week.",5,2026-03-05,Abigail,True,5
R124,P006,YesStyle,Skincare,Serum,Nice hydration,"Feels lightweight and gives a healthy glow. Good for dull skin.",4,2026-03-05,Alexander,True,3
R125,P007,Ulta Beauty,Skincare,Cleanser,Very gentle cleanser,"Does not irritate my sensitive skin and feels very soothing.",5,2026-03-04,Emily,True,4
