product_id,platform_name,domain,category,subcategory,brand,product_name,price_original,price_discounted,currency,rating_avg,review_count,product_url,image_url,size_or_capacity,key_features,description,skin_type,user_needs,target_concerns_or_use_cases,last_updated
P001,YesStyle,Skincare,Beauty,Cleanser,COSRX,Low pH Good Morning Gel Cleanser,12.00,9.99,USD,4.6,321,https://example.com/p1,https://example.com/i1,150ml,"Low pH; Gentle; Daily use","Gentle cleanser for oily and combination skin","Oily;Combination","Gentle cleansing","Acne;Oil control","2026-03-24"
P002,YesStyle,Skincare,Beauty,Serum,Beauty of Joseon,Glow Serum,18.00,15.50,USD,4.7,410,https://example.com/p2,https://example.com/i2,30ml,"Glow; Brightening; Niacinamide","Glow boosting serum for dull and uneven skin tone","All skin types","Brightening","Pigmentation;Dullness","2026-03-24"
P003,YesStyle,Skincare,Beauty,Moisturizer,Etude,SoonJung 2x Barrier Intensive Cream,20.00,17.99,USD,4.8,280,https://example.com/p3,https://example.com/i3,60ml,"Barrier support; Soothing","Barrier strengthening moisturizer for sensitive skin","Sensitive;Dry","Barrier repair","Redness;Barrier repair","2026-03-24"
P004,Ulta Beauty,Skincare,Beauty,Serum,The Ordinary,Niacinamide 10% + Zinc 1%,10.00,8.90,USD,4.5,5000,https://example.com/p4,https://example.com/i4,30ml,"Oil control; Brightening","Serum for acne and oil control","Oily;Combination","Oil control","Acne;Oil control","2026-03-24"
P005,Amazon,Skincare,Beauty,Moisturizer,CeraVe,Moisturizing Cream,18.00,15.00,USD,4.8,12000,https://example.com/p5,https://example.com/i5,340g,"Ceramides; Hydrating","Moisturizer for dry skin barrier repair","Dry;Sensitive","Hydration","Barrier repair;Dryness","2026-03-24"
P006,YesStyle,Skincare,Beauty,Serum,Laneige,Water Bank Serum,35.00,28.00,USD,4.6,900,https://example.com/p6,https://example.com/i6,50ml,"Hydration; Glow","Hydrating serum for dull skin","All skin types","Hydration","Dullness;Hydration","2026-03-24"
P007,Ulta Beauty,Skincare,Beauty,Cleanser,La Roche-Posay,Toleriane Hydrating Cleanser,16.00,14.50,USD,4.7,3000,https://example.com/p7,https://example.com/i7,200ml,"Gentle; Hydrating","Cleanser for sensitive skin","Sensitive;Dry","Gentle cleansing","Redness;Hydration","2026-03-24"
P101,Amazon,Home Appliance,Electronics,Smart TV,Samsung,Samsung 55 Inch 4K Smart TV,499.00,449.00,USD,4.5,2100,https://example.com/p101,https://example.com/i101,55 inch,"4K; UHD; Smart apps; HDMI","Smart television for streaming and home entertainment","","Streaming;Gaming;Family use","Picture quality;Sound quality;Value","2026-03-24"
P102,Walmart,Home Appliance,Kitchen,Microwave,Panasonic,Panasonic Countertop Microwave 1.2 Cu Ft,149.00,129.00,USD,4.4,890,https://example.com/p102,https://example.com/i102,1.2 Cu Ft,"Inverter technology; Quick heat","Microwave oven for quick heating and daily cooking","","Fast cooking;Daily use","Heating performance;Ease of use;Value","2026-03-24"
P103,Target,Home Appliance,Cleaning,Vacuum Cleaner,Shark,Shark Navigator Lift Away Vacuum,199.00,179.00,USD,4.7,1500,https://example.com/p103,https://example.com/i103,N/A,"Lift-away; HEPA; Pet hair","Vacuum cleaner for deep cleaning and pet hair removal","","Pet hair;Deep cleaning","Suction power;Pet hair cleaning;Durability","2026-03-24"
P104,Amazon,Home Appliance,Electronics,Smart TV,LG,LG 50 Inch 4K Smart TV,450.00,399.00,USD,4.6,3200,https://example.com/p104,https://example.com/i104,50 inch,"4K; HDR; Smart apps","Smart TV for streaming and gaming","","Streaming;Gaming","Picture quality;Smart features","2026-03-24"
P105,Costco,Home Appliance,Electronics,Smart TV,Sony,Sony Bravia 55 Inch 4K TV,700.00,649.00,USD,4.8,1800,https://example.com/p105,https://example.com/i105,55 inch,"4K; Dolby Vision","Premium TV with high picture quality","","Entertainment","Picture quality;Sound quality","2026-03-24"
P106,Walmart,Home Appliance,Kitchen,Microwave,Toshiba,Toshiba 1.1 Cu Ft Microwave,120.00,99.00,USD,4.3,700,https://example.com/p106,https://example.com/i106,1.1 Cu Ft,"Quick heat; Compact","Compact microwave for daily use","","Quick cooking","Heating performance;Ease of use","2026-03-24"
P107,Amazon,Home Appliance,Cleaning,Vacuum Cleaner,Dyson,Dyson V7 Motorhead Vacuum,400.00,349.00,USD,4.7,2500,https://example.com/p107,https://example.com/i107,N/A,"Strong suction; Cordless","Vacuum for deep cleaning and pet hair","","Pet cleaning","Suction power;Pet hair cleaning","2026-03-24"
P108,Target,Home Appliance,Cleaning,Vacuum Cleaner,Bissell,Bissell CleanView Vacuum,150.00,129.00,USD,4.5,1100,https://example.com/p108,https://example.com/i108,N/A,"Affordable; Strong suction","Budget vacuum cleaner","","Home cleaning","Value;Suction power","2026-03-24"
